study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	library_strategy	library_selection	read_count	experiment_title	study_title	experiment_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_title
PRJNA797288	SRP355051	SAMN24979304	SRS11670642	SRX13788014	SRR17619475	10090	Mus musculus	NextSeq 500	GSM5818975	SINGLE	RNA-Seq	cDNA	36670257	NextSeq 500 sequencing; GSM5818975: differentiating C2C12 cells +exosome #3; Mus musculus; RNA-Seq	Examination of the effect of exosome in FBS on myogenic differentiation	GSM5818975_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/075/SRR17619475/SRR17619475.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR176/075/SRR17619475	differentiating C2C12 cells +exosome #3
PRJNA797288	SRP355051	SAMN24979305	SRS11670641	SRX13788013	SRR17619476	10090	Mus musculus	NextSeq 500	GSM5818974	SINGLE	RNA-Seq	cDNA	38535695	NextSeq 500 sequencing; GSM5818974: differentiating C2C12 cells +exosome #2; Mus musculus; RNA-Seq	Examination of the effect of exosome in FBS on myogenic differentiation	GSM5818974_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/076/SRR17619476/SRR17619476.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR176/076/SRR17619476	differentiating C2C12 cells +exosome #2
PRJNA797288	SRP355051	SAMN24979306	SRS11670643	SRX13788012	SRR17619477	10090	Mus musculus	NextSeq 500	GSM5818973	SINGLE	RNA-Seq	cDNA	40640638	NextSeq 500 sequencing; GSM5818973: differentiating C2C12 cells #2; Mus musculus; RNA-Seq	Examination of the effect of exosome in FBS on myogenic differentiation	GSM5818973_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/077/SRR17619477/SRR17619477.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR176/077/SRR17619477	differentiating C2C12 cells #2
PRJNA797288	SRP355051	SAMN24979307	SRS11670640	SRX13788011	SRR17619478	10090	Mus musculus	NextSeq 500	GSM5818972	SINGLE	RNA-Seq	cDNA	38392988	NextSeq 500 sequencing; GSM5818972: differentiating C2C12 cells +exosome #1; Mus musculus; RNA-Seq	Examination of the effect of exosome in FBS on myogenic differentiation	GSM5818972_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/078/SRR17619478/SRR17619478.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR176/078/SRR17619478	differentiating C2C12 cells +exosome #1
PRJNA797288	SRP355051	SAMN24979308	SRS11670639	SRX13788010	SRR17619479	10090	Mus musculus	NextSeq 500	GSM5818971	SINGLE	RNA-Seq	cDNA	43068499	NextSeq 500 sequencing; GSM5818971: differentiating C2C12 cells #1; Mus musculus; RNA-Seq	Examination of the effect of exosome in FBS on myogenic differentiation	GSM5818971_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/079/SRR17619479/SRR17619479.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR176/079/SRR17619479	differentiating C2C12 cells #1
PRJNA797288	SRP355051	SAMN24979309	SRS11670638	SRX13788009	SRR17619480	10090	Mus musculus	NextSeq 500	GSM5818970	SINGLE	RNA-Seq	cDNA	43004366	NextSeq 500 sequencing; GSM5818970: growing C2C12 cells; Mus musculus; RNA-Seq	Examination of the effect of exosome in FBS on myogenic differentiation	GSM5818970_r1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/080/SRR17619480/SRR17619480.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR176/080/SRR17619480	growing C2C12 cells
